UniqueID,PeriodName,PeriodNumber,Date,Injury,Position,FieldTime,PlayerLoad,PlayerLoad2d,PlayerLoadSlow,PlayerLoad1dFwd,PlayerLoad1dSide,PlayerLoad1dUp,PlayerLoadMin,PlayerLoadMetre,ExertionIndex,PeakPlayerLoad
11207,"Receive, Turn, Pass",2,1/11/2022,N,Midfielder,0:14:43,125.1207,74.3326,124.8689,42.0454,52.4257,88.3406,8.4927,0.0000,0.0000,3.1667
11207,4v4+2 with Puggs,3,1/11/2022,N,Midfielder,0:18:10,146.6321,96.9306,146.1823,57.2121,66.2161,94.0820,8.0580,0.0000,0.0000,4.5144
11207,10v10+1,4,1/11/2022,N,Midfielder,0:19:14,192.6288,117.5407,192.5880,69.3005,80.3170,133.7406,10.0073,0.0000,0.0000,4.4928
11207,Session,0,1/11/2022,N,Midfielder,1:03:25,594.0335,355.1708,593.3991,195.7623,254.7976,416.1207,9.3624,0.0000,0.0000,5.4221
11207,Warm Up,1,1/11/2022,N,Midfielder,0:10:33,81.0349,49.3542,80.9512,26.8725,35.7117,55.3491,7.6775,0.0000,0.0000,2.9138
11207,"Receive, Turn, Pass",2,1/11/2022,N,Midfielder,0:10:21,80.3582,48.0683,79.8884,25.5864,35.2904,55.6953,7.7637,0.0000,0.0000,2.9166
11207,4v4+2 with Puggs,3,1/11/2022,N,Midfielder,0:11:29,99.7076,60.8190,99.6500,33.8061,43.5896,68.9010,8.6720,0.0000,0.0000,3.9973
11207,10v10+1,4,1/11/2022,N,Midfielder,0:31:02,332.9328,196.9292,332.9095,109.4973,140.2060,236.1753,10.7239,0.0000,0.0000,5.4221
12021,Session,0,1/11/2022,N,Midfielder,0:09:03,93.0404,58.2953,92.6302,31.5110,42.5269,62.6472,10.2648,0.0000,0.0000,3.5732
12021,Warm Up,1,1/11/2022,N,Midfielder,0:21:28,180.7503,110.4861,180.6424,65.5955,74.5854,124.4842,8.4151,130.8836,0.4709,4.3930
12021,"Receive, Turn, Pass",2,1/11/2022,N,Midfielder,0:05:17,54.0854,32.9392,54.0022,19.8115,22.0763,37.3238,10.2103,0.0000,0.2056,4.2322
12021,4v4+2 with Puggs,3,1/11/2022,N,Midfielder,0:10:24,95.7501,54.9298,95.7055,34.4436,34.7878,69.0393,9.2014,0.0000,0.4042,4.5968
12021,10v10+1,4,1/11/2022,N,Midfielder,1:35:10,842.5500,496.9416,841.5508,274.5953,355.0660,584.1592,8.8440,559.4621,2.9848,5.8790
12021,Session,0,1/11/2022,N,Midfielder,1:03:25,679.9131,372.7181,679.4633,225.2691,248.7955,502.1674,10.7159,0.0000,0.0000,5.1091
12021,Warm Up,1,1/11/2022,N,Midfielder,0:10:33,74.7661,41.4924,74.6809,24.1947,28.7812,54.6857,7.0836,0.0000,0.0000,2.7218
12021,"Receive, Turn, Pass",2,1/11/2022,N,Midfielder,0:10:21,88.2025,50.2132,88.1125,29.7177,34.1739,63.5338,8.5216,0.0000,0.0000,3.0110
12021,4v4+2 with Puggs,3,1/11/2022,N,Midfielder,0:11:29,112.1817,64.9234,112.0121,37.2493,45.2318,79.9536,9.7569,0.0000,0.0000,3.6046
12021,10v10+1,4,1/11/2022,N,Midfielder,0:31:02,404.7629,216.0893,404.6577,134.1074,140.6086,303.9942,13.0376,0.0000,0.0000,5.1091
1851,Session,0,1/13/2022,N,Defender,0:40:06,438.0067,251.2499,436.6797,140.0058,178.5745,313.7424,10.9117,0.0000,0.0000,4.1856
1851,Warm Up,1,1/13/2022,N,Defender,0:09:42,72.2949,40.6979,71.8143,23.2726,28.4161,52.1231,7.4452,0.0000,0.0000,3.3596
1851,Technical Passing,2,1/13/2022,N,Defender,0:08:39,96.4909,55.2385,96.3291,30.4144,39.5856,69.3315,11.1336,0.0000,0.0000,3.6334
1851,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Defender,0:07:12,85.0823,49.5329,84.9202,27.1827,35.7203,60.4367,11.7984,0.0000,0.0000,3.8368
1851,5v5 Small Field,4,1/13/2022,N,Defender,0:14:33,184.1385,105.7806,183.6161,59.1361,74.8526,131.8511,12.6533,0.0000,0.0000,4.1856
3945,Session,0,1/13/2022,N,Forward,0:40:06,384.2321,228.0049,383.8002,125.1444,163.5909,268.1148,9.5721,0.0000,0.8446,5.2595
3945,Warm Up,1,1/13/2022,N,Forward,0:09:42,60.3308,34.7083,60.2807,18.0662,25.7494,43.0094,6.2131,0.0000,0.0000,2.7248
3945,Technical Passing,2,1/13/2022,N,Forward,0:08:39,80.4665,46.1946,80.3923,26.1081,32.3441,57.5942,9.2846,0.0000,0.0000,2.9851
3945,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Forward,0:07:12,66.4218,40.7447,66.1428,22.0230,29.6019,44.9146,9.2108,0.0000,0.2800,4.5743
